trade_date,scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,daily_ret,nav,benchmark_ret,benchmark_nav,excess_nav
2023-07-20,方案B_LGBM打分,A,2023,2021,2,14,12,-0.00579754665067476,1307491.844872822,-0.007056,948602.2340724412,358889.6108003808
2023-07-21,方案B_LGBM打分,A,2023,2021,2,14,12,0.0008107246152222561,1308551.860695663,-0.00046699999999999997,948159.2368291294,360392.6238665335
2023-07-24,方案B_LGBM打分,A,2023,2021,2,14,12,0.0005706784154788739,1309298.6229980965,-0.004366999999999999,944018.6254418966,365279.9975561999
2023-07-25,方案B_LGBM打分,A,2023,2021,2,14,12,0.015410032964199655,1329474.9579384786,0.02888,971281.8833446585,358193.07459382
2023-07-26,方案B_LGBM打分,A,2023,2021,2,14,12,0.0001515194902750964,1329676.3993064389,-0.00207,969271.3298461352,360405.06946030364
2023-07-27,方案B_LGBM打分,A,2023,2021,2,14,12,-0.004463946432998532,1323740.7950867126,-0.0011949999999999999,968113.050606969,355627.74447974353
2023-07-28,方案B_LGBM打分,A,2023,2021,2,14,12,0.019980885944474114,1350190.3089333877,0.023163,990537.4531981783,359652.8557352094
2023-07-31,方案B_LGBM打分,A,2023,2021,2,14,12,0.0006816981427886596,1351110.7311593988,0.005483,995968.5700540638,355142.161105335
2023-08-01,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003793742105811552,1345984.9654889856,-0.004142,991843.2682369,354141.69725208567
2023-08-02,方案B_LGBM打分,A,2023,2021,2,14,12,-0.010793264408276881,1331457.3938668976,-0.00703,984870.6100611946,346586.78380570293
2023-08-03,方案B_LGBM打分,A,2023,2021,2,14,12,0.007320288812155129,1341204.0465310826,0.008839,993575.8813835254,347628.16514755716
2023-08-04,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003890982078673407,1335985.445622186,0.0038940000000000003,997444.865865633,338540.57975655294
2023-08-07,方案B_LGBM打分,A,2023,2021,2,14,12,-0.007139019720316858,1326447.819179833,-0.007568,989896.2031207619,336551.61605907104
2023-08-08,方案B_LGBM打分,A,2023,2021,2,14,12,0.0017248921782865763,1328735.7986480417,-0.0026119999999999997,987310.5942382106,341425.2044098311
2023-08-09,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0005981375335533482,1327941.0318946943,-0.0030570000000000003,984292.3857516244,343648.64614306996
2023-08-10,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0002801644126705638,1327568.9900754325,0.002055,986315.1066043439,341253.8834710886
2023-08-11,方案B_LGBM打分,A,2023,2021,2,14,12,-0.019073270798593316,1302247.9072239087,-0.023005,963624.9275769108,338622.9796469979
2023-08-14,方案B_LGBM打分,A,2023,2021,2,14,12,-0.00024374595604252183,1301930.489562758,-0.007298,956592.3928554545,345338.09670730354
2023-08-15,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0004471926982523855,1301348.2757541935,-0.00243,954267.8733408158,347080.4024133778
2023-08-16,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005548774728037377,1294127.3873293137,-0.007332,947271.1812934809,346856.20603583276
2023-08-17,方案B_LGBM打分,A,2023,2021,2,14,12,0.0008834105682773893,1295270.6331399775,0.0033439999999999998,950438.8561237262,344831.77701625123
2023-08-18,方案B_LGBM打分,A,2023,2021,2,14,12,-0.010748570693791823,1281348.32517208,-0.012293,938755.1112653973,342593.2139066827
