natural_week,natural_week_start,natural_week_end,price_week_close_date,open,high,low,close,volume,trading_days,Ret_t
2017-07-24/2017-07-30,2017-07-24,2017-07-30,2017-07-28,3724.38,3755.19,3672.5,3721.89,649280296.0,5,-0.0017996030681757258
2017-07-31/2017-08-06,2017-07-31,2017-08-06,2017-08-04,3722.43,3784.35,3707.0,3707.58,776892976.0,5,-0.0038448207765409137
2017-08-07/2017-08-13,2017-08-07,2017-08-13,2017-08-11,3701.22,3746.86,3645.09,3647.35,666625992.0,5,-0.016245097880558168
2017-08-14/2017-08-20,2017-08-14,2017-08-20,2017-08-18,3651.38,3733.49,3651.38,3724.67,531105400.0,5,0.021198952664263082
2017-08-21/2017-08-27,2017-08-21,2017-08-27,2017-08-25,3731.84,3795.97,3728.62,3795.75,525455776.0,5,0.019083569819608126
2017-08-28/2017-09-03,2017-08-28,2017-09-03,2017-09-01,3805.66,3866.94,3800.89,3830.54,746746696.0,5,0.009165514061779678
2017-09-04/2017-09-10,2017-09-04,2017-09-10,2017-09-08,3828.54,3865.29,3813.55,3825.99,635849880.0,5,-0.0011878220825263242
2017-09-11/2017-09-17,2017-09-11,2017-09-17,2017-09-15,3828.34,3854.49,3817.51,3831.3,601270616.0,5,0.0013878760791325995
2017-09-18/2017-09-24,2017-09-18,2017-09-24,2017-09-22,3832.96,3862.36,3816.82,3837.73,543214928.0,5,0.0016782815232427861
2017-09-25/2017-10-01,2017-09-25,2017-10-01,2017-09-29,3829.22,3852.22,3808.38,3836.5,458324296.0,5,-0.00032050196340027703
2017-10-09/2017-10-15,2017-10-09,2017-10-15,2017-10-13,3910.12,3927.17,3855.47,3921.0,536969576.0,5,0.022025283461488243
2017-10-16/2017-10-22,2017-10-16,2017-10-22,2017-10-20,3926.28,3947.42,3900.48,3926.85,484073520.0,5,0.0014919663351184997
2017-10-23/2017-10-29,2017-10-23,2017-10-29,2017-10-27,3930.89,4024.46,3920.66,4021.97,519316896.0,5,0.024222977704775994
2017-10-30/2017-11-05,2017-10-30,2017-11-05,2017-11-03,4022.16,4033.34,3960.27,3992.7,652488768.0,5,-0.007277528176490633
2017-11-06/2017-11-12,2017-11-06,2017-11-12,2017-11-10,3989.18,4116.71,3975.41,4111.91,687899032.0,5,0.029856989004934054
2017-11-13/2017-11-19,2017-11-13,2017-11-19,2017-11-17,4115.55,4137.65,4055.72,4120.85,728487456.0,5,0.002174172100070315
