week,week_start,week_end,week_id,open,high,low,close,volume,return
2015-03-11,2015-03-05,2015-03-11,295,3513.25,3568.92,3417.49,3524.65,1016182752.0,-0.001747469426365611
2015-03-18,2015-03-12,2015-03-18,296,3557.69,3846.06,3536.53,3846.06,1574783376.0,0.09118919609039189
2015-03-25,2015-03-19,2015-03-25,297,3851.25,3989.86,3809.71,3940.41,2033035264.0,0.024531598571005064
2015-04-01,2015-03-26,2015-04-01,298,3921.75,4166.02,3892.88,4123.9,1839387904.0,0.04656622026641899
2015-04-09,2015-04-02,2015-04-09,299,4149.95,4332.17,4068.65,4262.14,1974113536.0,0.03352166638376319
2015-04-16,2015-04-10,2015-04-16,300,4249.38,4513.76,4231.2,4513.55,2111533216.0,0.058986800058186795
2015-04-23,2015-04-17,2015-04-23,301,4578.68,4782.04,4492.6,4740.89,2743201504.0,0.050368335345792214
2015-04-30,2015-04-24,2015-04-30,302,4682.63,4839.08,4618.32,4749.89,2396652448.0,0.001898377730763734
2015-05-08,2015-05-04,2015-05-08,303,4757.64,4795.92,4445.59,4558.4,1814504320.0,-0.040314617812202136
2015-05-15,2015-05-11,2015-05-15,304,4582.09,4758.0,4535.15,4617.47,1787779072.0,0.012958494208494375
2015-05-22,2015-05-18,2015-05-22,305,4582.06,4951.99,4565.06,4951.33,1708048416.0,0.07230366412775813
2015-05-29,2015-05-25,2015-05-29,306,4949.11,5226.84,4665.52,4840.83,2424192544.0,-0.022317235974980476
2015-06-05,2015-06-01,2015-06-05,307,4862.76,5288.34,4835.77,5230.55,2273463680.0,0.08050685522937195
2015-06-12,2015-06-08,2015-06-12,308,5259.41,5380.43,5202.59,5335.12,2472376288.0,0.01999216143617777
2015-06-19,2015-06-15,2015-06-19,309,5354.01,5362.45,4634.69,4637.05,2007046080.0,-0.13084429216212567
2015-06-29,2015-06-23,2015-06-29,310,4641.42,4919.26,4000.93,4191.55,2218164896.0,-0.09607401257264858
2015-07-06,2015-06-30,2015-07-06,311,4161.07,4526.13,3785.9,3998.54,2493224288.0,-0.04604740489794945
2015-07-13,2015-07-07,2015-07-13,312,3877.85,4278.16,3537.83,4211.81,2767516704.0,0.053336967993317774
2015-07-20,2015-07-14,2015-07-20,313,4178.63,4258.51,3856.32,4160.61,1890690336.0,-0.01215629384991268
2015-07-27,2015-07-21,2015-07-27,314,4109.76,4299.65,3817.17,3818.73,1748892544.0,-0.08217064324702383
2015-08-03,2015-07-28,2015-08-03,315,3690.97,3968.53,3627.42,3829.24,1400230528.0,0.002752223906900886
2015-08-10,2015-08-04,2015-08-10,316,3827.37,4101.73,3793.24,4084.36,1058129216.0,0.066624186522652
2015-08-17,2015-08-11,2015-08-17,317,4083.59,4113.16,3967.82,4077.87,1330349968.0,-0.001588988238059419
2015-08-24,2015-08-18,2015-08-24,318,4084.31,4103.05,3266.55,3275.53,1274521904.0,-0.196754678300191
2015-08-31,2015-08-25,2015-08-31,319,3070.01,3368.28,2952.01,3366.54,1431395696.0,0.02778481650297815
2015-09-09,2015-09-01,2015-09-09,320,3296.53,3426.65,3170.81,3399.31,1279539424.0,0.009734029597153082
2015-09-16,2015-09-10,2015-09-16,321,3349.28,3398.32,3131.37,3309.25,762153376.0,-0.026493611938893435
2015-09-23,2015-09-17,2015-09-23,322,3287.66,3371.41,3211.93,3263.03,668487464.0,-0.013966910931479837
2015-09-30,2015-09-24,2015-09-30,323,3278.9,3300.86,3159.04,3202.95,463359976.0,-0.018412334547950993
2015-10-14,2015-10-08,2015-10-14,324,3324.98,3486.63,3293.97,3406.11,775442456.0,0.06342902636631864
2015-10-21,2015-10-15,2015-10-21,325,3403.39,3601.24,3402.32,3473.25,1048830928.0,0.019711635854390952
2015-10-28,2015-10-22,2015-10-28,326,3453.2,3620.76,3442.31,3524.92,949882176.0,0.01487655653926434
2015-11-04,2015-10-29,2015-11-04,327,3539.98,3628.54,3452.62,3628.54,702980680.0,0.02939641183345998
2015-11-11,2015-11-05,2015-11-11,328,3630.78,3891.77,3627.3,3833.65,1572358400.0,0.0565268675555457
2015-11-18,2015-11-12,2015-11-18,329,3841.74,3852.77,3680.07,3715.58,1016940992.0,-0.03079832535573157
2015-11-25,2015-11-19,2015-11-25,330,3725.62,3802.85,3702.74,3781.61,812538720.0,0.0177711151421851
2015-12-02,2015-11-26,2015-12-02,331,3795.25,3805.84,3455.07,3721.95,905741424.0,-0.01577634922691662
