date,code,close,volume,amount,name,display_code,log_return
2024-06-14,sh.600519,1555.0,5951416,9177637168.06,贵州茅台,600519.SH,-6.430847489191649e-06
2024-06-17,sh.600519,1541.5,4831816,7400883242.87,贵州茅台,600519.SH,-0.008719577287129354
2024-06-18,sh.600519,1521.5,4125825,6317590942.71,贵州茅台,600519.SH,-0.013059277989179385
2024-06-19,sh.600519,1501.0,4126153,6167728415.75,贵州茅台,600519.SH,-0.013565137703563934
2024-06-20,sh.600519,1500.1,2471068,3715924984.07,贵州茅台,600519.SH,-0.0005997800986170532
2024-06-21,sh.600519,1471.0,4331997,6418543742.21,贵州茅台,600519.SH,-0.019589330933406757
2024-06-24,sh.600519,1476.55,6383993,9319362390.13,贵州茅台,600519.SH,0.003765843876425201
2024-06-25,sh.600519,1486.65,4209795,6273919386.3,贵州茅台,600519.SH,0.00681698104296391
2024-06-26,sh.600519,1489.22,2956977,4414601922.25,贵州茅台,600519.SH,0.0017272264170991036
2024-06-27,sh.600519,1490.49,3282178,4857959457.24,贵州茅台,600519.SH,0.0008524319996929819
2024-06-28,sh.600519,1467.39,3858202,5699649046.86,贵州茅台,600519.SH,-0.01561961245537713
2024-07-01,sh.600519,1440.38,3216138,4636689118.2,贵州茅台,600519.SH,-0.01857834483585563
2024-07-02,sh.600519,1490.7,5185298,7659166816.23,贵州茅台,600519.SH,0.03433884062999848
2024-07-03,sh.600519,1500.0,3157326,4740808130.08,贵州茅台,600519.SH,0.006219299813916557
2024-07-04,sh.600519,1485.74,2437973,3637968895.24,贵州茅台,600519.SH,-0.00955214347361899
2024-07-05,sh.600519,1453.0,3882938,5664477336.47,贵州茅台,600519.SH,-0.022282580046399936
2024-07-08,sh.600519,1420.0,3952705,5657951348.41,贵州茅台,600519.SH,-0.02297351297497574
2024-07-09,sh.600519,1438.03,3362071,4807957927.36,贵州茅台,600519.SH,0.01261724977683265
2024-07-10,sh.600519,1437.59,2376322,3436693365.45,贵州茅台,600519.SH,-0.00030602096482468255
2024-07-11,sh.600519,1462.09,2902014,4236960596.17,贵州茅台,600519.SH,0.0168988185152239
2024-07-12,sh.600519,1478.82,2338634,3451132647.99,贵州茅台,600519.SH,0.011377553527791129
2024-07-15,sh.600519,1474.9,1917626,2835374730.12,贵州茅台,600519.SH,-0.0026542815848733525
2024-07-16,sh.600519,1476.0,2031644,2998367128.33,贵州茅台,600519.SH,0.0007455352949614635
2024-07-17,sh.600519,1501.4,3431101,5115680654.19,贵州茅台,600519.SH,0.017062279978484085
2024-07-18,sh.600519,1497.51,2887039,4337214600.94,贵州茅台,600519.SH,-0.0025942773752669623
2024-07-19,sh.600519,1525.62,3894291,5888615144.79,贵州茅台,600519.SH,0.018597156032869044
2024-07-22,sh.600519,1499.0,2854321,4300813309.97,贵州茅台,600519.SH,-0.01760266569390634
2024-07-23,sh.600519,1455.0,3094396,4555460197.63,贵州茅台,600519.SH,-0.029792318497004366
